Function Name,Category,Purpose (1 line),Invoked By / Menu,Input Parameters,Output / Returns,Side Effects,Errors & Fixes,Related Functions,Notes
consolidateGRTemplateData,Main Processing,Main processing function; scans Drive folder; converts and extracts GR data; appends to output sheets,"Manual menu click: ""Process All New Files Now""; Time-based trigger: Every 1 minute (if auto trigger enabled)",None,None (writes to spreadsheet); Logs execution state to Script Properties,Creates/updates sheets; Appends to Processed Files Log; Creates then deletes temp files; Updates Script Properties,Timeout error → Reduce CONFIG.maxFilesPerRunTotal; Permission error → Verify Drive API enabled,showYearPicker; processSingleFile_; listCandidateFilesByYear_; ensureSheets_; loadProcessedMap_,Orchestrator function; handles locking to prevent overlaps; respects maxRuntimeMs timeout
showYearPicker,UI Interaction,Display modal dialog for year selection; calls runConsolidateForYear for selected year,"Manual menu click: ""Processing"" → ""Process Files for Year...""",None,None (modal displayed); User clicks year → runConsolidateForYear called,Displays modal with configured years,Modal doesn't appear → Check onOpen permissions; Reload sheet,runConsolidateForYear,Shows list of configured years from CONFIG
runConsolidateForYear,Main Processing,Process files from a specific year only (bypasses auto year-detection),showYearPicker after user selection,"year (number): e.g., 2025, 2026",Same as consolidateGRTemplateData; Logs results per year,Same as consolidateGRTemplateData but filtered to single year,Same as consolidateGRTemplateData,consolidateGRTemplateData; listCandidateFilesByYear_,Called with user-selected year; ensures balanced per-year processing
setupAutomaticEvery1Min,Automation,Create time-based trigger to run consolidateGRTemplateData every 1 minute,"Manual menu click: ""Automation"" → ""Start Auto Trigger (1 min)""",None,None (trigger created); Stores BOUND_SPREADSHEET_ID in Script Properties,Creates Apps Script time-based trigger; automatic processing begins ~1 min after call,Trigger creation fails → Check if trigger already exists (open Triggers in Apps Script); Try stopping first then starting; Verify permissions,stopAutomatic; debugAutoProcessingStatus,Automatic processing runs 24/7; respects daily quota limits; runs ~1 file per minute
stopAutomatic,Automation,Remove the automatic 1-minute time-based trigger,"Manual menu click: ""Automation"" → ""Stop Auto Trigger""",None,None (trigger deleted); Automatic processing stops,Deletes time-based trigger; processing only on manual clicks,Trigger deletion fails → Open Apps Script Triggers page; manually delete,setupAutomaticEvery1Min; debugAutoProcessingStatus,Graceful stop; can re-enable anytime via setupAutomaticEvery1Min
debugAutoProcessingStatus,Automation,Display detailed status of last automatic run including times; files; rows added; next run ETA,"Manual menu click: ""Automation"" → ""Show Auto Processing Status""",None,None (modal displayed); Shows status including last run times; file count; row count; next run ETA,Displays detailed modal with run state from Script Properties,"Status shows """"Idle"""" always → Check if trigger exists (open Apps Script Triggers); Status very old → No automatic runs have executed yet",setupAutomaticEvery1Min; Script Properties reader,Great for monitoring auto processing health
processSingleFile_,File Processing,Orchestrate all steps for one file: convert Excel → open → parse → append → cleanup,consolidateGRTemplateData() loop for each file in candidate list,ss (Spreadsheet): bound spreadsheet; fileInfo (Object): {id; name; year; month; url}; tempFolder (Folder): Google Drive temp folder,Object: {rowsAdded (number); status (string); timings (Object): {convertMs; openMs; parseMs; appendMs; totalMs}},Creates & deletes temp file; appends rows to output sheet; updates performance log,File not converting → Check file size (<10MB); Try different Excel format; Verify Drive API enabled; Permission error → Verify access to source folder,convertExcelToTempSheet_; openSpreadsheetWithRetry_; parseConvertedSheet_; appendRowsWithSourceLink_; logPerfEntry_,Core logic for single-file processing; includes try-catch with cleanup in finally block
convertExcelToTempSheet_,File Conversion,Use Google Drive API to convert Excel file to temporary Google Sheet,processSingleFile_() before parsing,fileInfo (Object): {id; name; url}; tempFolder (Folder): destination,Object: {sheetId (string); sheetUrl (string)}; throws NON_RETRIABLE_TOO_LARGE if >10MB,"Creates file in temp folder with ""_TEMP_"" prefix; calls Drive API; may throw error if conversion fails",File >10MB → Throws NON_RETRIABLE_TOO_LARGE; split file and retry; Drive API temporarily unavailable → Retry after delay; Malformed Excel → File might be corrupted; try opening in Excel locally first,openSpreadsheetWithRetry_,Critical step; conversion time ~30-60 sec per file; uses Drive.Files.copy API; requires Advanced Drive service enabled
openSpreadsheetWithRetry_,File Access,Open converted Google Sheet with retry logic (3 attempts with exponential backoff),convertExcelToTempSheet_() result; attempts to open,fileId (string): converted sheet ID; attempts (number): max retry count; delayMs (number): base delay,SpreadsheetApp object for the sheet; throws error if all retries fail,Calls SpreadsheetApp.openById with retries; waits CONFIG.openRetryDelayMs between attempts,All retries exhausted → Sheet API temporarily unavailable; wait and retry manually; Permission denied → Verify access to converted file,parseConvertedSheet_; convertExcelToTempSheet_,Retry pattern: 1st try immediately; 2nd after ~500ms; 3rd after ~1000ms
parseConvertedSheet_,Sheet Parsing,Find best sheet/tab in converted spreadsheet and extract candidate rows,processSingleFile_() after opening temp sheet,tempSS (Spreadsheet): converted Google Sheet; fileName (string): original Excel filename (for scoring),Object: {rows (Array): row data; columnMap (Object): column name→index mapping; sheetName (string): chosen sheet name},Determines which sheet in multi-sheet workbook is most likely data source; returns extracted raw rows,"No suitable sheet found → Status: """"No data extracted"""" or """"Needs manual check""""; manual check: is there a """"GR TEMPLATE"""" tab? Does any tab have >3 expected columns?",evaluateSheetCandidate_; detectHeaderRowAndMap_; extractRowsWithFilter_,"Uses fast-path preference for ""GR TEMPLATE"" sheets; fallback scores all sheets by header match count"
evaluateSheetCandidate_,Sheet Parsing,Score a single sheet and extract rows; detect header and validate column count,parseConvertedSheet_() for each sheet candidate,sh (Sheet): candidate sheet; fileName (string): filename; isDirectName (boolean): true if sheet name matches expected,Object: {score (number); rows (Array); columnMap (Object); reason (string)}; or empty if invalid,Returns scored sheet candidate for comparison,Low score (<3 matches) → Sheet likely not data; High score (>10 matches) → Sheet is probable match,detectHeaderRowAndMap_; extractRowsWithFilter_; countMappedHeaders_,Scoring logic: count of matched headers + file name token matches; picks highest-scoring sheet
detectHeaderRowAndMap_,Header Detection,Scan rows to find header row and map column positions to canonical names,evaluateSheetCandidate_() before row extraction,values (Array): 2D array of cell values from sheet,Object: {headerRowIndex (number): row number (0-based) of header; columnMap (Object): {header name → column index}}; throws if no valid header found,Stores column positions for later extraction,"No header found → Status: """"No data extracted""""; Fix: Check file format; Ensure header row exists; Verify >3 key columns match expected list",createColumnMapping_; HEADER_ALIASES; countMappedHeaders_,Scans up to CONFIG.headerScanMaxRows (~80) rows; requires min CONFIG.minHeaderMatches (~3) matches
createColumnMapping_,Header Detection,Given a header row; map each cell to canonical column names (using aliases),detectHeaderRowAndMap_() header matching,headerRow (Array): cells from detected header row,"Object: {header name → column index}; example: {""PO No."": 2; ""Material Description"": 4}",Builds mapping used for all downstream row extraction,Aliases too restrictive → Add new alias to HEADER_ALIASES object in script; re-run,HEADER_ALIASES object; detectHeaderRowAndMap_,"Uses HEADER_ALIASES for fuzzy column matching (e.g., ""PO Number"" → ""PO No."")"
extractRowsWithFilter_,Row Extraction,Extract data rows from sheet applying all filters (skip summaries; hidden rows; merged cells; empty rows),evaluateSheetCandidate_() after header detection,startRow; endRow (number): row range; headerColumnMap (Object): column mapping; rawValues (Array): cell data; sheet (Sheet object): for hidden row check,Array of row arrays (each row = extracted cells for that row),Applies sequential filters to identify valid data rows; caches visible row checks; returns only valid rows,No rows extracted → Check if all rows below header are summaries or empty; Verify visible/hidden state; Use debug tool,extractRowsByAnchors_; isSummaryOrFooterRow_; isLikelyMergedArtifactRow_; isEmptyRow_; isSheetRowVisible_,Filters: hidden rows (if CONFIG.onlyIncludeVisibleRows) → summary rows → footer rows → merged artifacts → empty rows
